BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1894785,512.0,476.0,36.0,37.0,0.07213664054870605,0.00010585784912109375
1894786,512.0,477.0,35.0,36.0,0.0676565170288086,0.00010132789611816406
1894787,512.0,477.0,35.0,36.0,0.07551932334899902,0.00010418891906738281
1894788,989.0,954.0,35.0,37.0,0.11991500854492188,0.00011372566223144531
1894789,512.0,478.0,34.0,35.0,0.061174869537353516,0.00011754035949707031
1894790,512.0,479.0,33.0,34.0,0.0740346908569336,0.00010013580322265625
1894791,512.0,479.0,33.0,34.0,0.05850982666015625,9.584426879882812e-05
1894792,512.0,479.0,33.0,34.0,0.06837892532348633,0.00010037422180175781
1894793,512.0,479.0,33.0,34.0,0.06375432014465332,0.00010180473327636719
1894794,512.0,480.0,32.0,33.0,0.06790757179260254,0.00010395050048828125
1894795,512.0,480.0,32.0,33.0,0.059783935546875,0.00010085105895996094
1894796,512.0,480.0,32.0,33.0,0.07712149620056152,9.751319885253906e-05
1894797,512.0,481.0,31.0,32.0,0.06276559829711914,0.00010633468627929688
1894798,512.0,481.0,31.0,32.0,0.06996297836303711,0.00010156631469726562
1894799,512.0,482.0,30.0,31.0,0.06858563423156738,9.918212890625e-05
1894800,512.0,482.0,30.0,31.0,0.06730031967163086,0.00011754035949707031
1894801,512.0,483.0,29.0,30.0,0.06361627578735352,0.00011467933654785156
1894802,512.0,483.0,29.0,30.0,0.06874561309814453,8.940696716308594e-05
1894803,512.0,484.0,28.0,29.0,0.06976842880249023,9.107589721679688e-05
1894804,512.0,484.0,28.0,29.0,0.0761575698852539,9.822845458984375e-05
1894805,512.0,484.0,28.0,29.0,0.0810549259185791,0.00010418891906738281
1894806,512.0,484.0,28.0,29.0,0.06831765174865723,0.0001068115234375
1894807,512.0,484.0,28.0,29.0,0.07141780853271484,9.179115295410156e-05
1894808,512.0,484.0,28.0,29.0,0.07880353927612305,0.00010514259338378906
1894809,650.0,622.0,28.0,30.0,0.08907938003540039,0.00011205673217773438
1894810,553.0,524.0,29.0,31.0,0.07583761215209961,0.00011229515075683594
1894811,512.0,482.0,30.0,31.0,0.06586098670959473,0.00010824203491210938
1894812,584.0,554.0,30.0,32.0,0.08243656158447266,9.894371032714844e-05
1894813,512.0,482.0,30.0,31.0,0.06741499900817871,0.00010752677917480469
1894814,512.0,482.0,30.0,31.0,0.07064461708068848,0.00010132789611816406
1894815,614.0,584.0,30.0,32.0,0.08124446868896484,0.00010442733764648438
1894816,512.0,481.0,31.0,32.0,0.07608461380004883,0.00012874603271484375
1894817,512.0,481.0,31.0,32.0,0.07030057907104492,0.00010561943054199219
1894818,512.0,481.0,31.0,32.0,0.0786280632019043,0.00010275840759277344
1894819,648.0,617.0,31.0,33.0,0.07974791526794434,9.417533874511719e-05
1894820,512.0,481.0,31.0,32.0,0.06499266624450684,0.00010585784912109375
1894821,586.0,555.0,31.0,33.0,0.0849294662475586,0.00010228157043457031
1894822,512.0,480.0,32.0,33.0,0.07655549049377441,0.000110626220703125
1894823,512.0,480.0,32.0,33.0,0.0713040828704834,0.00010418891906738281
1894824,620.0,588.0,32.0,34.0,0.08741569519042969,0.00011348724365234375
1894825,512.0,479.0,33.0,34.0,0.06168556213378906,0.00011849403381347656
1894826,590.0,557.0,33.0,35.0,0.0840299129486084,0.0001049041748046875
1894827,512.0,480.0,32.0,33.0,0.06244492530822754,0.00011181831359863281
1894828,588.0,556.0,32.0,34.0,0.07940340042114258,9.512901306152344e-05
1894829,556.0,524.0,32.0,34.0,0.07256770133972168,6.151199340820312e-05
1894830,557.0,524.0,33.0,35.0,0.06786608695983887,6.794929504394531e-05
1894831,558.0,524.0,34.0,36.0,0.07223129272460938,6.151199340820312e-05
1894832,512.0,479.0,33.0,34.0,0.0781857967376709,6.127357482910156e-05
1894833,590.0,557.0,33.0,35.0,0.07305288314819336,6.890296936035156e-05
1894834,512.0,478.0,34.0,35.0,0.06862998008728027,8.606910705566406e-05
1894835,592.0,558.0,34.0,36.0,0.0885467529296875,8.893013000488281e-05
1894836,559.0,524.0,35.0,37.0,0.07760047912597656,0.00010919570922851562
1894837,512.0,476.0,36.0,37.0,0.06993961334228516,0.00010728836059570312
1894838,512.0,477.0,35.0,36.0,0.0646052360534668,0.00010132789611816406
1894839,629.0,595.0,34.0,36.0,0.08277034759521484,9.465217590332031e-05
1894840,512.0,477.0,35.0,36.0,0.06838345527648926,0.00010967254638671875
1894841,592.0,559.0,33.0,35.0,0.08346199989318848,9.751319885253906e-05
1894842,512.0,478.0,34.0,35.0,0.07582592964172363,0.00011014938354492188
1894843,512.0,478.0,34.0,35.0,0.06922721862792969,0.00010013580322265625
1894844,512.0,479.0,33.0,34.0,0.06031298637390137,0.00010132789611816406
1894845,512.0,479.0,33.0,34.0,0.06405401229858398,9.465217590332031e-05
1894846,512.0,479.0,33.0,34.0,0.08482217788696289,0.00010228157043457031
1894847,512.0,479.0,33.0,34.0,0.06707382202148438,0.00010848045349121094
1894848,512.0,479.0,33.0,34.0,0.07281947135925293,0.0001049041748046875
1894849,790.0,757.0,33.0,35.0,0.09828829765319824,0.00010371208190917969
1894850,546.0,512.0,34.0,35.0,0.09923148155212402,0.000125885009765625
1894851,512.0,478.0,34.0,35.0,0.07197189331054688,0.0001068115234375
