SECONDS,request_arrived
181.98500442504883,1842.0
181.9968385696411,1843.0
182.1270399093628,1844.0
182.14091229438782,1845.0
182.19974660873413,1846.0
182.34452939033508,1847.0
182.42341208457947,1848.0
182.48070359230042,1849.0
182.63115859031677,1850.0
182.70058155059814,1851.0
182.77246284484863,1852.0
182.78446531295776,1853.0
182.7962155342102,1854.0
182.98889565467834,1855.0
183.07161593437195,1856.0
183.1988034248352,1857.0
183.2887465953827,1858.0
183.5228943824768,1859.0
183.73517727851868,1860.0
183.95187282562256,1861.0
184.1833221912384,1862.0
184.48816323280334,1863.0
184.5000422000885,1864.0
184.71131825447083,1865.0
184.93044090270996,1866.0
185.14667391777039,1867.0
185.15840530395508,1868.0
185.2880585193634,1869.0
185.30116438865662,1870.0
185.3711235523224,1871.0
185.38297724723816,1872.0
185.4571566581726,1873.0
185.53772950172424,1874.0
185.9775745868683,1875.0
185.99071550369263,1876.0
186.05644416809082,1877.0
186.13357257843018,1878.0
186.35786390304565,1879.0
186.6447093486786,1880.0
186.65917801856995,1881.0
186.93844962120056,1882.0
187.0745906829834,1883.0
187.31372499465942,1884.0
187.3839249610901,1885.0
187.3985080718994,1886.0
187.4604630470276,1887.0
187.68837189674377,1888.0
187.8394227027893,1889.0
188.1330418586731,1890.0
188.2843360900879,1891.0
188.29709029197693,1892.0
188.4158833026886,1893.0
188.48807287216187,1894.0
188.57226467132568,1895.0
188.58409214019775,1896.0
188.87308526039124,1897.0
188.88767457008362,1898.0
189.11176753044128,1899.0
190.67009568214417,1900.0
190.68450331687927,1901.0
190.75831294059753,1902.0
190.89852690696716,1903.0
190.97456765174866,1904.0
191.1375060081482,1905.0
191.21007323265076,1906.0
191.4388554096222,1907.0
191.87841081619263,1908.0
192.03069877624512,1909.0
192.1191210746765,1910.0
192.26318192481995,1911.0
192.4078152179718,1912.0
193.0604269504547,1913.0
193.07285022735596,1914.0
193.26174139976501,1915.0
193.8095715045929,1916.0
193.88367557525635,1917.0
193.9688811302185,1918.0
194.03033900260925,1919.0
194.0936257839203,1920.0
194.23940658569336,1921.0
194.523015499115,1922.0
194.59494876861572,1923.0
194.87536311149597,1924.0
195.08175325393677,1925.0
195.30964398384094,1926.0
195.32151103019714,1927.0
195.4553623199463,1928.0
195.61109805107117,1929.0
196.1688859462738,1930.0
196.41136956214905,1931.0
196.54438495635986,1932.0
196.7029550075531,1933.0
196.9356677532196,1934.0
196.95112442970276,1935.0
196.96201300621033,1936.0
197.08485865592957,1937.0
197.09662795066833,1938.0
197.17251992225647,1939.0
197.82816624641418,1940.0
197.84327578544617,1941.0
198.20887780189514,1942.0
198.22074437141418,1943.0
198.27108788490295,1944.0
198.49218916893005,1945.0
198.51204919815063,1946.0
198.57587361335754,1947.0
198.5867416858673,1948.0
198.77256751060486,1949.0
198.92731285095215,1950.0
198.9391827583313,1951.0
199.00298690795898,1952.0
199.16464185714722,1953.0
199.1763949394226,1954.0
199.2481620311737,1955.0
200.0434603691101,1956.0
200.34453678131104,1957.0
200.49150133132935,1958.0
200.5647587776184,1959.0
200.5790913105011,1960.0
200.5908010005951,1961.0
200.63346099853516,1962.0
200.85146188735962,1963.0
201.00058388710022,1964.0
201.15173077583313,1965.0
201.30070447921753,1966.0
201.66127181053162,1967.0
201.6729929447174,1968.0
201.87888646125793,1969.0
201.9711730480194,1970.0
202.60680174827576,1971.0
202.7473874092102,1972.0
202.84094762802124,1973.0
203.06891798973083,1974.0
203.08615493774414,1975.0
203.13958024978638,1976.0
203.34649968147278,1977.0
203.49827075004578,1978.0
203.6771445274353,1979.0
203.68892431259155,1980.0
203.75680685043335,1981.0
203.8268060684204,1982.0
203.88814878463745,1983.0
203.89999151229858,1984.0
204.03168606758118,1985.0
204.04344391822815,1986.0
204.09236884117126,1987.0
204.10405731201172,1988.0
204.2474844455719,1989.0
204.38248705863953,1990.0
204.47397255897522,1991.0
204.55497789382935,1992.0
204.5667757987976,1993.0
204.70393538475037,1994.0
204.71575260162354,1995.0
204.86656975746155,1996.0
204.8800618648529,1997.0
205.24865794181824,1998.0
205.32381558418274,1999.0
205.46385979652405,2000.0
205.62135791778564,2001.0
205.79114389419556,2002.0
205.8692512512207,2003.0
205.88112568855286,2004.0
205.95522594451904,2005.0
206.1137523651123,2006.0
206.19242548942566,2007.0
206.26295065879822,2008.0
206.42429566383362,2009.0
206.97431683540344,2010.0
207.06566524505615,2011.0
207.2950143814087,2012.0
207.30725407600403,2013.0
207.44824266433716,2014.0
207.6023600101471,2015.0
207.75260615348816,2016.0
207.99005603790283,2017.0
208.5902862548828,2018.0
208.67160272598267,2019.0
208.76620388031006,2020.0
208.91295433044434,2021.0
209.07798147201538,2022.0
209.08992099761963,2023.0
209.31880855560303,2024.0
209.46980476379395,2025.0
209.55586743354797,2026.0
209.56765937805176,2027.0
209.62433910369873,2028.0
209.84818077087402,2029.0
210.08849358558655,2030.0
210.23610067367554,2031.0
210.32464289665222,2032.0
210.4141697883606,2033.0
210.55486130714417,2034.0
210.63408637046814,2035.0
210.72485256195068,2036.0
210.74188828468323,2037.0
211.84857201576233,2038.0
212.25541591644287,2039.0
212.81887197494507,2040.0
213.1543083190918,2041.0
213.4512107372284,2042.0
213.47345089912415,2043.0
213.49050951004028,2044.0
213.66262340545654,2045.0
213.74608039855957,2046.0
213.9110770225525,2047.0
213.92285346984863,2048.0
213.97785592079163,2049.0
213.99480175971985,2050.0
214.18171405792236,2051.0
214.4816701412201,2052.0
214.4935314655304,2053.0
214.55625939369202,2054.0
214.78931331634521,2055.0
214.8013355731964,2056.0
215.06910252571106,2057.0
215.15224385261536,2058.0
215.4441921710968,2059.0
215.51619338989258,2060.0
215.65737199783325,2061.0
215.92578983306885,2062.0
215.9977216720581,2063.0
216.08688759803772,2064.0
216.2397162914276,2065.0
216.82495546340942,2066.0
216.91839838027954,2067.0
217.13217639923096,2068.0
217.14390993118286,2069.0
217.29318118095398,2070.0
217.6516613960266,2071.0
217.66367030143738,2072.0
217.73565220832825,2073.0
217.8074209690094,2074.0
217.95221161842346,2075.0
218.04210591316223,2076.0
218.12165021896362,2077.0
218.26644468307495,2078.0
218.42351770401,2079.0
218.72098755836487,2080.0
218.7864408493042,2081.0
218.7983591556549,2082.0
218.86895084381104,2083.0
218.94847750663757,2084.0
219.24603652954102,2085.0
219.3982880115509,2086.0
219.6327347755432,2087.0
219.77810740470886,2088.0
219.91689252853394,2089.0
220.07919001579285,2090.0
220.09293842315674,2091.0
220.22762775421143,2092.0
220.39001512527466,2093.0
220.4724223613739,2094.0
220.77979040145874,2095.0
220.8572142124176,2096.0
221.1324851512909,2097.0
221.2826087474823,2098.0
221.42292380332947,2099.0
221.66467380523682,2100.0
221.6765604019165,2101.0
221.6882929801941,2102.0
221.7520408630371,2103.0
221.76292896270752,2104.0
221.83217430114746,2105.0
222.1877191066742,2106.0
222.27099585533142,2107.0
222.6344542503357,2108.0
222.73808097839355,2109.0
222.7499029636383,2110.0
222.80111455917358,2111.0
222.87153935432434,2112.0
223.11757469177246,2113.0
223.27750730514526,2114.0
223.35110330581665,2115.0
223.36590719223022,2116.0
223.4275462627411,2117.0
223.5825629234314,2118.0
223.7316427230835,2119.0
223.8909022808075,2120.0
223.90281224250793,2121.0
223.99289274215698,2122.0
224.59842896461487,2123.0
224.6868326663971,2124.0
224.77241730690002,2125.0
224.8451271057129,2126.0
225.6499218940735,2127.0
225.95719242095947,2128.0
225.9690363407135,2129.0
226.09101104736328,2130.0
226.2428765296936,2131.0
226.55153894424438,2132.0
226.6965663433075,2133.0
227.00229120254517,2134.0
227.08028960227966,2135.0
227.19804739952087,2136.0
227.32930970191956,2137.0
227.50804829597473,2138.0
228.2076337337494,2139.0
228.27877068519592,2140.0
228.36099100112915,2141.0
228.7780041694641,2142.0
228.92449593544006,2143.0
228.9413480758667,2144.0
228.9940128326416,2145.0
229.46084022521973,2146.0
229.5345537662506,2147.0
229.72838640213013,2148.0
229.9414186477661,2149.0
230.090744972229,2150.0
230.22656774520874,2151.0
230.30815744400024,2152.0
230.4614338874817,2153.0
230.5884029865265,2154.0
230.73343539237976,2155.0
230.80964136123657,2156.0
230.89664673805237,2157.0
231.0402569770813,2158.0
231.45899438858032,2159.0
231.53183102607727,2160.0
231.60919284820557,2161.0
231.6771810054779,2162.0
231.82004976272583,2163.0
231.9093861579895,2164.0
232.26203441619873,2165.0
232.4080410003662,2166.0
232.47807598114014,2167.0
232.6314070224762,2168.0
233.1481499671936,2169.0
233.59208393096924,2170.0
233.6064109802246,2171.0
233.66617822647095,2172.0
233.87249898910522,2173.0
233.954274892807,2174.0
234.32225394248962,2175.0
234.39565539360046,2176.0
234.68425798416138,2177.0
234.89429020881653,2178.0
235.04570412635803,2179.0
235.05872058868408,2180.0
235.32781648635864,2181.0
235.41053462028503,2182.0
235.67445611953735,2183.0
235.8070662021637,2184.0
235.96324801445007,2185.0
236.3090944290161,2186.0
236.39053297042847,2187.0
236.46071577072144,2188.0
236.5391354560852,2189.0
236.5509033203125,2190.0
236.62080574035645,2191.0
236.632559299469,2192.0
236.6921718120575,2193.0
236.91648316383362,2194.0
237.0518820285797,2195.0
237.12699103355408,2196.0
237.2934215068817,2197.0
237.30874228477478,2198.0
237.52975296974182,2199.0
237.74161577224731,2200.0
237.94629669189453,2201.0
238.16684103012085,2202.0
238.70150661468506,2203.0
238.75473761558533,2204.0
238.8922815322876,2205.0
239.11804699897766,2206.0
239.53751730918884,2207.0
239.60841417312622,2208.0
239.83173847198486,2209.0
239.84367418289185,2210.0
240.01529169082642,2211.0
240.12866282463074,2212.0
240.28220200538635,2213.0
240.43003702163696,2214.0
240.50982856750488,2215.0
240.7192840576172,2216.0
241.19387674331665,2217.0
241.26972579956055,2218.0
241.5768575668335,2219.0
242.63000345230103,2220.0
242.9796736240387,2221.0
242.99688982963562,2222.0
243.05736684799194,2223.0
243.19387006759644,2224.0
243.3322503566742,2225.0
243.73920607566833,2226.0
243.7523488998413,2227.0
243.8090033531189,2228.0
243.96119904518127,2229.0
244.0901222229004,2230.0
244.17558431625366,2231.0
244.19047665596008,2232.0
244.78267168998718,2233.0
244.79463005065918,2234.0
244.86897945404053,2235.0
245.68457746505737,2236.0
245.74596858024597,2237.0
245.75782012939453,2238.0
245.82741689682007,2239.0
245.99123692512512,2240.0
246.06004428863525,2241.0
246.14536428451538,2242.0
246.27152824401855,2243.0
246.42416429519653,2244.0
246.7114179134369,2245.0
246.8036162853241,2246.0
246.86041498184204,2247.0
247.4136459827423,2248.0
247.57015538215637,2249.0
247.68774271011353,2250.0
247.9706814289093,2251.0
248.05056619644165,2252.0
248.0624134540558,2253.0
248.32212829589844,2254.0
248.33989214897156,2255.0
248.67459082603455,2256.0
248.68652606010437,2257.0
249.1432020664215,2258.0
249.22250819206238,2259.0
249.5757622718811,2260.0
249.65017461776733,2261.0
249.8671009540558,2262.0
250.15586924552917,2263.0
250.23980021476746,2264.0
250.25153756141663,2265.0
250.75856518745422,2266.0
250.9773998260498,2267.0
250.9891505241394,2268.0
251.05447697639465,2269.0
251.0662820339203,2270.0
251.21043491363525,2271.0
251.41378259658813,2272.0
251.8294403553009,2273.0
251.8425989151001,2274.0
252.12979984283447,2275.0
252.2007520198822,2276.0
252.36242747306824,2277.0
253.1897096633911,2278.0
253.59425258636475,2279.0
253.87130975723267,2280.0
254.01372861862183,2281.0
254.15794897079468,2282.0
254.2857801914215,2283.0
254.44461131095886,2284.0
254.7205581665039,2285.0
254.7901747226715,2286.0
254.92248821258545,2287.0
254.93668389320374,2288.0
255.13661766052246,2289.0
255.20693016052246,2290.0
255.21874713897705,2291.0
255.35736918449402,2292.0
255.5743579864502,2293.0
255.78694415092468,2294.0
255.93084049224854,2295.0
256.1612432003021,2296.0
256.2317621707916,2297.0
256.3356704711914,2298.0
256.34759736061096,2299.0
256.6082181930542,2300.0
256.8111324310303,2301.0
256.9447536468506,2302.0
257.0861234664917,2303.0
257.305526971817,2304.0
257.39698243141174,2305.0
257.41385316848755,2306.0
257.46230006217957,2307.0
257.93306398391724,2308.0
258.07484102249146,2309.0
258.21414279937744,2310.0
258.70246481895447,2311.0
258.9037010669708,2312.0
259.0551767349243,2313.0
259.0676212310791,2314.0
259.1273150444031,2315.0
259.46658277511597,2316.0
259.47848558425903,2317.0
259.9150388240814,2318.0
260.55389952659607,2319.0
260.62291431427,2320.0
260.9723823070526,2321.0
261.0514659881592,2322.0
261.06328105926514,2323.0
261.2484493255615,2324.0
261.266667842865,2325.0
261.578736782074,2326.0
261.66110038757324,2327.0
262.41283655166626,2328.0
263.0198588371277,2329.0
263.1513411998749,2330.0
263.2920603752136,2331.0
263.4924125671387,2332.0
263.50431752204895,2333.0
263.56393122673035,2334.0
263.57571935653687,2335.0
263.70228266716003,2336.0
263.714097738266,2337.0
263.8460593223572,2338.0
263.92842721939087,2339.0
264.7030737400055,2340.0
264.83248138427734,2341.0
264.96646332740784,2342.0
265.03919553756714,2343.0
265.179803609848,2344.0
265.25280356407166,2345.0
265.7810733318329,2346.0
265.93861293792725,2347.0
265.95047545433044,2348.0
266.2265110015869,2349.0
266.29846000671387,2350.0
266.4472932815552,2351.0
266.5965247154236,2352.0
267.43882036209106,2353.0
267.66114830970764,2354.0
267.8013005256653,2355.0
268.08659982681274,2356.0
268.09882712364197,2357.0
268.3022701740265,2358.0
268.4524202346802,2359.0
268.51795506477356,2360.0
268.5298089981079,2361.0
268.5416717529297,2362.0
268.7388029098511,2363.0
268.75057101249695,2364.0
268.76228046417236,2365.0
268.774019241333,2366.0
268.7857925891876,2367.0
268.79750752449036,2368.0
269.29255056381226,2369.0
269.49607491493225,2370.0
269.57379150390625,2371.0
269.709424495697,2372.0
269.7212767601013,2373.0
269.795339345932,2374.0
270.57002544403076,2375.0
270.707133769989,2376.0
270.92496633529663,2377.0
271.078763961792,2378.0
271.2650501728058,2379.0
271.3518023490906,2380.0
271.4936947822571,2381.0
271.55878472328186,2382.0
271.63682556152344,2383.0
271.8434810638428,2384.0
271.9244544506073,2385.0
272.23229336738586,2386.0
272.37039256095886,2387.0
273.0994005203247,2388.0
273.47825622558594,2389.0
273.62516617774963,2390.0
275.09664154052734,2391.0
275.35366559028625,2392.0
275.3662533760071,2393.0
275.43806648254395,2394.0
275.58256936073303,2395.0
275.6546437740326,2396.0
275.7485942840576,2397.0
275.76033902168274,2398.0
275.88072633743286,2399.0
276.09019470214844,2400.0
276.23214983940125,2401.0
276.3835783004761,2402.0
276.5257110595703,2403.0
276.7497670650482,2404.0
277.5233430862427,2405.0
277.66573786735535,2406.0
277.80398440361023,2407.0
278.08862233161926,2408.0
278.2264578342438,2409.0
278.3156487941742,2410.0
278.44285321235657,2411.0
278.58118319511414,2412.0
278.84406065940857,2413.0
278.99154329299927,2414.0
279.1375472545624,2415.0
279.34888339042664,2416.0
279.6286692619324,2417.0
279.7971365451813,2418.0
279.8088607788086,2419.0
280.0660672187805,2420.0
280.1323959827423,2421.0
280.1990306377411,2422.0
280.26948285102844,2423.0
280.3428966999054,2424.0
280.5676066875458,2425.0
280.771315574646,2426.0
280.783096075058,2427.0
280.85094380378723,2428.0
281.3549311161041,2429.0
281.6308023929596,2430.0
281.7795784473419,2431.0
282.25776863098145,2432.0
283.4814975261688,2433.0
283.49543619155884,2434.0
283.61005902290344,2435.0
283.75071239471436,2436.0
284.5149974822998,2437.0
284.5921320915222,2438.0
284.6608991622925,2439.0
284.7318398952484,2440.0
284.79913425445557,2441.0
285.07046008110046,2442.0
285.1995916366577,2443.0
285.3647484779358,2444.0
285.8756573200226,2445.0
285.94950342178345,2446.0
286.02638697624207,2447.0
286.5621564388275,2448.0
286.63676285743713,2449.0
286.76731061935425,2450.0
286.8979332447052,2451.0
286.9750564098358,2452.0
287.92200446128845,2453.0
287.9337680339813,2454.0
288.2010998725891,2455.0
288.2130060195923,2456.0
288.2706117630005,2457.0
288.5698719024658,2458.0
288.85333013534546,2459.0
288.86501598358154,2460.0
289.12185430526733,2461.0
289.46213483810425,2462.0
289.6563148498535,2463.0
289.73877930641174,2464.0
290.2680928707123,2465.0
290.33117866516113,2466.0
290.5369963645935,2467.0
290.54793787002563,2468.0
291.3728790283203,2469.0
292.5646336078644,2470.0
292.5781271457672,2471.0
292.58987975120544,2472.0
292.9289915561676,2473.0
293.0729384422302,2474.0
293.09493231773376,2475.0
293.1435103416443,2476.0
293.28583455085754,2477.0
293.3564484119415,2478.0
293.57145142555237,2479.0
293.6403820514679,2480.0
293.6520721912384,2481.0
294.1198661327362,2482.0
294.2688672542572,2483.0
294.42412972450256,2484.0
294.7824411392212,2485.0
294.8524076938629,2486.0
294.86411786079407,2487.0
294.99734354019165,2488.0
295.1449046134949,2489.0
295.3514242172241,2490.0
295.4313979148865,2491.0
295.64938259124756,2492.0
295.77742075920105,2493.0
295.8020906448364,2494.0
296.72583389282227,2495.0
297.7498834133148,2496.0
298.2158110141754,2497.0
298.3445746898651,2498.0
298.42766761779785,2499.0
298.50177335739136,2500.0
298.57467699050903,2501.0
299.0096025466919,2502.0
299.1742820739746,2503.0
299.25692343711853,2504.0
299.31073689460754,2505.0
299.3225567340851,2506.0
299.51878666877747,2507.0
299.61916279792786,2508.0
299.6309304237366,2509.0
299.66861367225647,2510.0
