SECONDS,prefix_cache_block_movements_gpu_to_cpu
1746686032.2064426,0.0
1746686032.2834198,0.0
1746686032.343452,0.0
1746686032.411611,0.0
1746686032.486516,0.0
1746686032.5474758,0.0
1746686032.6088402,0.0
1746686032.6674864,0.0
1746686032.7274902,0.0
1746686032.787479,0.0
1746686032.8459964,0.0
1746686032.9040432,0.0
1746686032.9634054,0.0
1746686033.0233777,0.0
1746686033.0833805,0.0
1746686033.1741157,0.0
1746686033.2435236,0.0
1746686033.3043542,0.0
1746686033.3755612,0.0
1746686033.4353783,0.0
1746686033.4954214,0.0
1746686033.5775926,0.0
1746686033.639528,0.0
1746686033.7064571,0.0
1746686033.7756052,0.0
1746686033.851689,0.0
1746686033.9115453,0.0
1746686033.971805,0.0
1746686034.031517,0.0
1746686034.0922673,0.0
1746686034.151526,0.0
1746686034.2115166,0.0
1746686034.2714777,0.0
1746686034.3317373,0.0
1746686034.4082532,0.0
1746686034.479645,0.0
1746686034.5394793,0.0
1746686034.611706,0.0
1746686034.6715848,0.0
1746686034.7316005,0.0
1746686034.798482,0.0
1746686034.862697,0.0
1746686034.9235597,0.0
1746686035.0093975,0.0
1746686035.0677063,0.0
1746686035.127618,0.0
1746686035.1876552,0.0
1746686035.247683,0.0
1746686035.3076613,0.0
1746686035.367606,0.0
1746686035.4279332,0.0
1746686035.5132308,0.0
1746686035.5721838,0.0
1746686035.632458,0.0
1746686035.692961,0.0
1746686035.7747395,0.0
1746686035.8422093,0.0
1746686035.9065385,0.0
1746686035.979853,0.0
1746686036.0397182,0.0
1746686036.0999537,0.0
1746686036.1598692,0.0
1746686036.2206473,0.0
1746686036.2808986,0.0
1746686036.3680506,0.0
1746686036.4278061,0.0
1746686036.4880435,0.0
1746686036.548337,0.0
1746686036.6086614,0.0
1746686036.6704397,0.0
1746686036.7282276,0.0
1746686036.7885506,0.0
1746686036.849016,0.0
1746686036.909376,0.0
1746686036.9695544,0.0
1746686037.0316796,0.0
1746686037.098433,0.0
1746686037.1624188,0.0
1746686037.2601147,0.0
1746686037.3197396,0.0
1746686037.3796434,0.0
1746686037.4399703,0.0
1746686037.5081854,0.0
1746686037.573251,0.0
1746686037.6317093,0.0
1746686037.7047684,0.0
1746686037.7642121,0.0
1746686037.8237636,0.0
1746686037.8844576,0.0
1746686037.9559772,0.0
1746686038.0157712,0.0
1746686038.080121,0.0
1746686038.164092,0.0
1746686038.2270114,0.0
1746686038.301253,0.0
1746686038.357889,0.0
1746686038.4181604,0.0
1746686038.4801238,0.0
1746686038.546555,0.0
1746686038.6077676,0.0
1746686038.6676617,0.0
1746686038.7283764,0.0
1746686038.816276,0.0
1746686038.8756216,0.0
1746686038.9356322,0.0
1746686038.9956555,0.0
1746686039.055633,0.0
1746686039.1156263,0.0
1746686039.1756313,0.0
1746686039.2355905,0.0
1746686039.296284,0.0
1746686039.3798444,0.0
1746686039.4395783,0.0
1746686039.5001376,0.0
1746686039.5593584,0.0
1746686039.6195433,0.0
1746686039.6795266,0.0
1746686039.7395027,0.0
1746686039.82782,0.0
1746686039.8884604,0.0
1746686039.9475179,0.0
1746686040.0075574,0.0
1746686040.0675087,0.0
1746686040.1275249,0.0
1746686040.1876047,0.0
1746686040.2475429,0.0
1746686040.3075147,0.0
1746686040.3676562,0.0
1746686040.4280136,0.0
1746686040.4883635,0.0
1746686040.5485737,0.0
1746686040.6089294,0.0
1746686040.695932,0.0
1746686040.7555015,0.0
1746686040.824084,0.0
1746686040.8835971,0.0
1746686040.9556725,0.0
1746686041.0167904,0.0
1746686041.07549,0.0
1746686041.135548,0.0
1746686041.1955862,0.0
1746686041.2555358,0.0
1746686041.338904,0.0
1746686041.3995965,0.0
1746686041.4666963,0.0
1746686041.527709,0.0
1746686041.5876703,0.0
1746686041.6487815,0.0
1746686041.7076566,0.0
1746686041.7677383,0.0
1746686041.8281298,0.0
1746686041.8884554,0.0
1746686041.9838395,0.0
1746686042.0436094,0.0
1746686042.1034229,0.0
1746686042.1635165,0.0
1746686042.2240646,0.0
1746686042.283446,0.0
1746686042.343406,0.0
1746686042.40343,0.0
1746686042.4596808,0.0
1746686042.5199513,0.0
1746686042.5802987,0.0
1746686042.6411705,0.0
1746686042.7004354,0.0
1746686042.760722,0.0
1746686042.821067,0.0
1746686042.8834078,0.0
1746686042.9457865,0.0
1746686043.0073764,0.0
1746686043.0754814,0.0
1746686043.1423178,0.0
1746686043.2063472,0.0
1746686043.272081,0.0
1746686043.3804877,0.0
1746686043.441185,0.0
1746686043.5155494,0.0
1746686043.5753615,0.0
1746686043.6354358,0.0
1746686043.6954262,0.0
1746686043.7556949,0.0
1746686043.8153126,0.0
1746686043.8790689,0.0
1746686043.9595134,0.0
1746686044.0193543,0.0
1746686044.0793686,0.0
1746686044.1394405,0.0
1746686044.1993809,0.0
1746686044.2601936,0.0
1746686044.3200955,0.0
1746686044.3794181,0.0
1746686044.4563217,0.0
1746686044.5154598,0.0
1746686044.5890002,0.0
1746686044.6503255,0.0
1746686044.7075024,0.0
1746686044.7677965,0.0
1746686044.8280814,0.0
1746686044.9116316,0.0
1746686044.9729662,0.0
1746686045.0330284,0.0
1746686045.1076303,0.0
1746686045.1680593,0.0
1746686045.248641,0.0
1746686045.3102365,0.0
1746686045.3673136,0.0
1746686045.4276166,0.0
1746686045.4879904,0.0
1746686045.5482173,0.0
1746686045.6086366,0.0
1746686045.668821,0.0
1746686045.7292364,0.0
1746686045.7922187,0.0
1746686045.853413,0.0
1746686045.9136906,0.0
1746686045.9753215,0.0
1746686046.0383253,0.0
1746686046.1372976,0.0
1746686046.198117,0.0
1746686046.2553167,0.0
1746686046.3222582,0.0
1746686046.3793757,0.0
1746686046.4395354,0.0
1746686046.5074809,0.0
1746686046.5681593,0.0
1746686046.6285198,0.0
1746686046.6888099,0.0
1746686046.7490716,0.0
1746686046.8095806,0.0
1746686046.8714588,0.0
1746686046.9341774,0.0
1746686046.9955106,0.0
1746686047.0622935,0.0
1746686047.126899,0.0
1746686047.187362,0.0
1746686047.2514677,0.0
1746686047.3195305,0.0
1746686047.3875425,0.0
1746686047.4919608,0.0
1746686047.5521953,0.0
1746686047.6235476,0.0
1746686047.6952205,0.0
1746686047.7554803,0.0
1746686047.8154602,0.0
1746686047.8755581,0.0
1746686047.9359267,0.0
1746686047.9973888,0.0
1746686048.055748,0.0
1746686048.1165473,0.0
1746686048.176792,0.0
1746686048.2360935,0.0
1746686048.3157744,0.0
1746686048.3756022,0.0
1746686048.4475698,0.0
1746686048.5073843,0.0
1746686048.5677032,0.0
1746686048.6280282,0.0
1746686048.6995027,0.0
1746686048.760928,0.0
1746686048.8194168,0.0
1746686048.879456,0.0
1746686048.9405491,0.0
1746686048.9993653,0.0
1746686049.067588,0.0
1746686049.1274567,0.0
1746686049.1994812,0.0
1746686049.2593358,0.0
1746686049.320915,0.0
1746686049.3793914,0.0
1746686049.4515207,0.0
1746686049.5117133,0.0
1746686049.5714645,0.0
1746686049.6314416,0.0
1746686049.6915853,0.0
1746686049.7679744,0.0
1746686049.827782,0.0
1746686049.8983955,0.0
1746686049.95941,0.0
1746686050.01941,0.0
1746686050.079403,0.0
1746686050.139395,0.0
1746686050.1994007,0.0
1746686050.2804642,0.0
1746686050.3393643,0.0
1746686050.39675,0.0
1746686050.453054,0.0
1746686050.5277033,0.0
1746686050.5874572,0.0
1746686050.6475034,0.0
1746686050.7083578,0.0
1746686050.7705681,0.0
1746686050.8316677,0.0
1746686050.8914008,0.0
1746686050.9705448,0.0
1746686051.0314863,0.0
1746686051.0917666,0.0
1746686051.151437,0.0
1746686051.2114108,0.0
1746686051.291643,0.0
1746686051.3513584,0.0
1746686051.4114532,0.0
1746686051.4716284,0.0
1746686051.533406,0.0
1746686051.595544,0.0
1746686051.6554663,0.0
1746686051.7162497,0.0
1746686051.775659,0.0
1746686051.8355696,0.0
1746686051.8956084,0.0
1746686051.9555376,0.0
1746686052.0156078,0.0
1746686052.0756123,0.0
1746686052.1356738,0.0
1746686052.235942,0.0
1746686052.2999487,0.0
1746686052.3595665,0.0
1746686052.4196167,0.0
1746686052.4835584,0.0
1746686052.54343,0.0
1746686052.6034777,0.0
1746686052.6637492,0.0
1746686052.7234416,0.0
1746686052.7834642,0.0
1746686052.8436954,0.0
1746686052.90439,0.0
1746686052.9641492,0.0
1746686053.046525,0.0
1746686053.1020775,0.0
1746686053.169202,0.0
1746686053.2237668,0.0
1746686053.283369,0.0
1746686053.3433156,0.0
1746686053.4004169,0.0
1746686053.459168,0.0
1746686053.5191712,0.0
1746686053.5791163,0.0
1746686053.6350925,0.0
1746686053.705947,0.0
