SECONDS,decode_completed
266.4112460613251,103999.0
266.4112460613251,103980.0
266.4112460613251,103981.0
266.4112460613251,103982.0
266.4112460613251,103987.0
266.47139620780945,104019.0
266.47139620780945,104022.0
266.47139620780945,104021.0
266.47139620780945,104017.0
266.47139620780945,104012.0
266.47139620780945,104016.0
266.47139620780945,104020.0
266.47139620780945,104004.0
266.47139620780945,104005.0
266.47139620780945,104003.0
266.47139620780945,104009.0
266.47139620780945,104010.0
266.47139620780945,104000.0
266.47139620780945,104018.0
266.47139620780945,104006.0
266.47139620780945,104001.0
266.47139620780945,104002.0
266.47139620780945,104015.0
266.47139620780945,104007.0
266.47139620780945,104011.0
266.47139620780945,104014.0
266.47139620780945,104013.0
266.47139620780945,104008.0
266.53943514823914,104045.0
266.53943514823914,104044.0
266.53943514823914,104043.0
266.53943514823914,104039.0
266.53943514823914,104026.0
266.53943514823914,104035.0
266.53943514823914,104036.0
266.53943514823914,104034.0
266.53943514823914,104042.0
266.53943514823914,104029.0
266.53943514823914,104030.0
266.53943514823914,104028.0
266.53943514823914,104032.0
266.53943514823914,104040.0
266.53943514823914,104023.0
266.53943514823914,104046.0
266.53943514823914,104031.0
266.53943514823914,104025.0
266.53943514823914,104024.0
266.53943514823914,104027.0
266.53943514823914,104037.0
266.53943514823914,104041.0
266.53943514823914,104033.0
266.53943514823914,104038.0
266.6150715351105,104053.0
266.6150715351105,104049.0
266.6150715351105,104063.0
266.6150715351105,104055.0
266.6150715351105,104062.0
266.6150715351105,104061.0
266.6150715351105,104056.0
266.6150715351105,104058.0
266.6150715351105,104050.0
266.6150715351105,104051.0
266.6150715351105,104047.0
266.6150715351105,104057.0
266.6150715351105,104065.0
266.6150715351105,104060.0
266.6150715351105,104066.0
266.6150715351105,104048.0
266.6150715351105,104059.0
266.6150715351105,104054.0
266.6150715351105,104068.0
266.6150715351105,104067.0
266.6150715351105,104064.0
266.6150715351105,104071.0
266.6150715351105,104069.0
266.6150715351105,104070.0
266.6150715351105,104052.0
266.6747040748596,104075.0
266.6747040748596,104089.0
266.6747040748596,104090.0
266.6747040748596,104094.0
266.6747040748596,104093.0
266.6747040748596,104092.0
266.6747040748596,104091.0
266.6747040748596,104080.0
266.6747040748596,104086.0
266.6747040748596,104096.0
266.6747040748596,104088.0
266.6747040748596,104095.0
266.6747040748596,104077.0
266.6747040748596,104076.0
266.6747040748596,104078.0
266.6747040748596,104079.0
266.6747040748596,104074.0
266.6747040748596,104087.0
266.6747040748596,104085.0
266.6747040748596,104081.0
266.6747040748596,104082.0
266.6747040748596,104083.0
266.6747040748596,104072.0
266.6747040748596,104084.0
266.6747040748596,104073.0
266.7352488040924,104097.0
266.7352488040924,104120.0
266.7352488040924,104098.0
266.7352488040924,104099.0
266.7352488040924,104101.0
266.7352488040924,104100.0
266.7352488040924,104103.0
266.7352488040924,104105.0
266.7352488040924,104106.0
266.7352488040924,104113.0
266.7352488040924,104104.0
266.7352488040924,104119.0
266.7352488040924,104102.0
266.7352488040924,104115.0
266.7352488040924,104117.0
266.7352488040924,104116.0
266.7352488040924,104114.0
266.7352488040924,104111.0
266.7352488040924,104118.0
266.7352488040924,104110.0
266.7352488040924,104108.0
266.7352488040924,104109.0
266.7352488040924,104107.0
266.7352488040924,104112.0
266.8100485801697,104142.0
266.8100485801697,104124.0
266.8100485801697,104123.0
266.8100485801697,104130.0
266.8100485801697,104125.0
266.8100485801697,104139.0
266.8100485801697,104141.0
266.8100485801697,104144.0
266.8100485801697,104133.0
266.8100485801697,104128.0
266.8100485801697,104131.0
266.8100485801697,104145.0
266.8100485801697,104138.0
266.8100485801697,104132.0
266.8100485801697,104135.0
266.8100485801697,104137.0
266.8100485801697,104136.0
266.8100485801697,104127.0
266.8100485801697,104122.0
266.8100485801697,104126.0
266.8100485801697,104129.0
266.8100485801697,104143.0
266.8100485801697,104134.0
266.8100485801697,104140.0
266.8100485801697,104121.0
266.8703033924103,104147.0
266.8703033924103,104148.0
266.8703033924103,104149.0
266.8703033924103,104157.0
266.8703033924103,104165.0
266.8703033924103,104163.0
266.8703033924103,104160.0
266.8703033924103,104161.0
266.8703033924103,104158.0
266.8703033924103,104152.0
266.8703033924103,104155.0
266.8703033924103,104156.0
266.8703033924103,104151.0
266.8703033924103,104146.0
266.8703033924103,104162.0
