SECONDS,decode_completed
141.9208426475525,18817.0
141.9208426475525,18816.0
141.9208426475525,18818.0
141.9208426475525,18819.0
141.93826603889465,18820.0
141.93826603889465,18821.0
141.93826603889465,18823.0
141.93826603889465,18822.0
141.9557876586914,18826.0
141.9557876586914,18825.0
141.9557876586914,18824.0
141.9557876586914,18827.0
141.97312331199646,18831.0
141.97312331199646,18829.0
141.97312331199646,18828.0
141.97312331199646,18830.0
141.9904227256775,18832.0
141.9904227256775,18835.0
141.9904227256775,18833.0
141.9904227256775,18834.0
142.00799345970154,18837.0
142.00799345970154,18839.0
142.00799345970154,18836.0
142.00799345970154,18838.0
142.02539443969727,18840.0
142.02539443969727,18842.0
142.02539443969727,18841.0
142.02539443969727,18843.0
142.04282546043396,18847.0
142.04282546043396,18846.0
142.04282546043396,18844.0
142.04282546043396,18845.0
142.06014347076416,18848.0
142.06014347076416,18851.0
142.06014347076416,18849.0
142.06014347076416,18850.0
142.07740879058838,18855.0
142.07740879058838,18853.0
142.07740879058838,18852.0
142.07740879058838,18854.0
142.09476327896118,18856.0
142.09476327896118,18858.0
142.09476327896118,18857.0
142.09476327896118,18859.0
142.11221075057983,18861.0
142.11221075057983,18863.0
142.11221075057983,18860.0
142.11221075057983,18862.0
142.12959265708923,18867.0
142.12959265708923,18864.0
142.12959265708923,18865.0
142.12959265708923,18866.0
142.21175122261047,18869.0
142.21175122261047,18871.0
142.21175122261047,18868.0
142.21175122261047,18870.0
142.2543478012085,18872.0
142.2543478012085,18874.0
142.2543478012085,18873.0
142.2543478012085,18875.0
142.29752492904663,18879.0
142.29752492904663,18878.0
142.29752492904663,18876.0
142.29752492904663,18877.0
142.34092450141907,18882.0
142.34092450141907,18881.0
142.34092450141907,18883.0
142.34092450141907,18880.0
142.3842968940735,18885.0
142.3842968940735,18884.0
142.3842968940735,18886.0
142.3842968940735,18887.0
142.4284098148346,18888.0
142.4284098148346,18890.0
142.4284098148346,18889.0
142.4284098148346,18891.0
142.47244024276733,18894.0
142.47244024276733,18893.0
142.47244024276733,18892.0
142.47244024276733,18895.0
142.51694250106812,18899.0
142.51694250106812,18896.0
142.51694250106812,18898.0
142.51694250106812,18897.0
142.5620608329773,18903.0
142.5620608329773,18901.0
142.5620608329773,18902.0
142.5620608329773,18900.0
142.60722994804382,18906.0
142.60722994804382,18904.0
142.60722994804382,18907.0
142.60722994804382,18905.0
142.65291118621826,18909.0
142.65291118621826,18911.0
142.65291118621826,18910.0
142.65291118621826,18908.0
142.69873714447021,18914.0
142.69873714447021,18913.0
142.69873714447021,18912.0
142.69873714447021,18915.0
142.74482583999634,18917.0
142.74482583999634,18918.0
142.74482583999634,18919.0
142.74482583999634,18916.0
142.79119873046875,18920.0
