BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1809842,512.0,496.0,16.0,17.0,0.05108070373535156,0.00010466575622558594
1809843,512.0,496.0,16.0,17.0,0.05138802528381348,8.106231689453125e-05
1809844,512.0,496.0,16.0,17.0,0.05123114585876465,8.821487426757812e-05
1809845,512.0,496.0,16.0,17.0,0.051476240158081055,7.772445678710938e-05
1809846,512.0,496.0,16.0,17.0,0.052306413650512695,7.987022399902344e-05
1809847,512.0,496.0,16.0,17.0,0.052557945251464844,8.654594421386719e-05
1809848,512.0,496.0,16.0,17.0,0.052870988845825195,8.440017700195312e-05
1809849,512.0,496.0,16.0,17.0,0.05308866500854492,8.940696716308594e-05
1809850,512.0,496.0,16.0,17.0,0.053498029708862305,9.822845458984375e-05
1809851,512.0,496.0,16.0,17.0,0.05385851860046387,8.416175842285156e-05
1809852,512.0,496.0,16.0,17.0,0.05411243438720703,0.00011277198791503906
1809853,512.0,496.0,16.0,17.0,0.05396151542663574,8.463859558105469e-05
1809854,512.0,496.0,16.0,17.0,0.054689645767211914,0.00010275840759277344
1809855,512.0,496.0,16.0,17.0,0.054945945739746094,0.00012350082397460938
1809856,512.0,496.0,16.0,17.0,0.05485177040100098,8.630752563476562e-05
1809857,512.0,496.0,16.0,17.0,0.055205345153808594,8.249282836914062e-05
1809858,512.0,496.0,16.0,17.0,0.055979251861572266,8.296966552734375e-05
1809859,512.0,496.0,16.0,17.0,0.0559539794921875,8.96453857421875e-05
1809860,512.0,496.0,16.0,17.0,0.05576014518737793,8.869171142578125e-05
1809861,512.0,496.0,16.0,17.0,0.05634140968322754,8.0108642578125e-05
1809862,512.0,496.0,16.0,17.0,0.057032108306884766,7.748603820800781e-05
1809863,512.0,496.0,16.0,17.0,0.057485103607177734,8.511543273925781e-05
1809864,512.0,496.0,16.0,17.0,0.05779623985290527,8.678436279296875e-05
1809865,512.0,496.0,16.0,17.0,0.05817413330078125,8.320808410644531e-05
1809866,512.0,496.0,16.0,17.0,0.05854463577270508,8.702278137207031e-05
1809867,512.0,496.0,16.0,17.0,0.058831214904785156,8.606910705566406e-05
1809868,512.0,496.0,16.0,17.0,0.059287309646606445,8.487701416015625e-05
1809869,509.0,493.0,16.0,17.0,0.05903005599975586,0.00011754035949707031
1809870,529.0,512.0,17.0,18.0,0.057828664779663086,8.034706115722656e-05
1809871,541.0,524.0,17.0,19.0,0.06366634368896484,9.465217590332031e-05
1809872,512.0,494.0,18.0,19.0,0.05177140235900879,9.274482727050781e-05
1809873,512.0,494.0,18.0,19.0,0.05192708969116211,7.82012939453125e-05
1809874,512.0,494.0,18.0,19.0,0.05265998840332031,7.748603820800781e-05
1809875,512.0,494.0,18.0,19.0,0.0529932975769043,8.511543273925781e-05
1809876,512.0,494.0,18.0,19.0,0.053605079650878906,9.393692016601562e-05
1809877,631.0,614.0,17.0,19.0,0.061968088150024414,8.225440979003906e-05
1809878,542.0,524.0,18.0,20.0,0.05954623222351074,8.749961853027344e-05
1809879,531.0,512.0,19.0,20.0,0.07042622566223145,8.726119995117188e-05
1809880,512.0,493.0,19.0,20.0,0.051700592041015625,9.393692016601562e-05
