BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1956963,512.0,488.0,24.0,25.0,0.056208133697509766,8.654594421386719e-05
1956964,512.0,488.0,24.0,25.0,0.05770993232727051,9.107589721679688e-05
1956965,512.0,488.0,24.0,25.0,0.056890249252319336,9.250640869140625e-05
1956966,512.0,488.0,24.0,25.0,0.06566166877746582,9.584426879882812e-05
1956967,512.0,488.0,24.0,25.0,0.06392168998718262,8.535385131835938e-05
1956968,716.0,692.0,24.0,26.0,0.08799457550048828,9.107589721679688e-05
1956969,512.0,488.0,24.0,25.0,0.06382322311401367,0.00010514259338378906
1956970,512.0,488.0,24.0,25.0,0.05985569953918457,9.489059448242188e-05
1956971,512.0,488.0,24.0,25.0,0.05745506286621094,9.274482727050781e-05
1956972,512.0,489.0,23.0,24.0,0.05945849418640137,9.083747863769531e-05
1956973,512.0,489.0,23.0,24.0,0.0611574649810791,9.059906005859375e-05
1956974,512.0,491.0,21.0,22.0,0.05798983573913574,0.0001125335693359375
1956975,512.0,491.0,21.0,22.0,0.06123232841491699,8.296966552734375e-05
1956976,512.0,491.0,21.0,22.0,0.05917525291442871,0.00010943412780761719
1956977,512.0,491.0,21.0,22.0,0.059938907623291016,8.225440979003906e-05
1956978,747.0,726.0,21.0,23.0,0.08413815498352051,8.845329284667969e-05
1956979,512.0,490.0,22.0,23.0,0.058379173278808594,0.00010228157043457031
1956980,512.0,490.0,22.0,23.0,0.05751442909240723,8.797645568847656e-05
1956981,512.0,491.0,21.0,22.0,0.05839872360229492,8.893013000488281e-05
1956982,512.0,491.0,21.0,22.0,0.05702567100524902,8.821487426757812e-05
1956983,512.0,491.0,21.0,22.0,0.059906005859375,8.0108642578125e-05
1956984,512.0,491.0,21.0,22.0,0.05590105056762695,9.202957153320312e-05
1956985,512.0,491.0,21.0,22.0,0.059914350509643555,8.869171142578125e-05
1956986,512.0,491.0,21.0,22.0,0.060040950775146484,8.916854858398438e-05
1956987,715.0,694.0,21.0,23.0,0.08004426956176758,8.654594421386719e-05
1956988,512.0,490.0,22.0,23.0,0.059801578521728516,0.00010442733764648438
1956989,512.0,490.0,22.0,23.0,0.05993080139160156,8.821487426757812e-05
1956990,590.0,568.0,22.0,24.0,0.07898497581481934,8.821487426757812e-05
1956991,547.0,524.0,23.0,25.0,0.062122344970703125,0.00010275840759277344
1956992,548.0,524.0,24.0,26.0,0.06958913803100586,9.632110595703125e-05
1956993,512.0,487.0,25.0,26.0,0.06404590606689453,9.799003601074219e-05
1956994,512.0,488.0,24.0,25.0,0.05727958679199219,9.298324584960938e-05
1956995,512.0,489.0,23.0,24.0,0.05941200256347656,8.440017700195312e-05
1956996,512.0,489.0,23.0,24.0,0.0586390495300293,9.179115295410156e-05
1956997,642.0,619.0,23.0,25.0,0.08143472671508789,9.179115295410156e-05
1956998,512.0,488.0,24.0,25.0,0.05975532531738281,0.00010895729064941406
1956999,512.0,488.0,24.0,25.0,0.059957265853881836,8.296966552734375e-05
1957000,512.0,488.0,24.0,25.0,0.05986642837524414,9.226799011230469e-05
1957001,512.0,488.0,24.0,25.0,0.06791853904724121,9.417533874511719e-05
1957002,512.0,488.0,24.0,25.0,0.06270575523376465,9.512901306152344e-05
1957003,512.0,488.0,24.0,25.0,0.05756330490112305,9.274482727050781e-05
1957004,512.0,488.0,24.0,25.0,0.060659170150756836,0.00010466575622558594
1957005,512.0,489.0,23.0,24.0,0.0597233772277832,8.916854858398438e-05
1957006,512.0,489.0,23.0,24.0,0.060865163803100586,9.036064147949219e-05
1957007,512.0,490.0,22.0,23.0,0.061798810958862305,8.392333984375e-05
1957008,512.0,490.0,22.0,23.0,0.0638570785522461,8.273124694824219e-05
1957009,804.0,782.0,22.0,24.0,0.08830595016479492,8.96453857421875e-05
1957010,512.0,489.0,23.0,24.0,0.057834625244140625,0.0001087188720703125
1957011,512.0,489.0,23.0,24.0,0.05765819549560547,8.249282836914062e-05
1957012,512.0,489.0,23.0,24.0,0.0598752498626709,9.036064147949219e-05
1957013,512.0,489.0,23.0,24.0,0.06041717529296875,8.916854858398438e-05
1957014,512.0,490.0,22.0,23.0,0.05868697166442871,9.5367431640625e-05
1957015,512.0,490.0,22.0,23.0,0.05992627143859863,8.916854858398438e-05
1957016,512.0,491.0,21.0,22.0,0.056520938873291016,8.726119995117188e-05
1957017,512.0,491.0,21.0,22.0,0.05600547790527344,0.00011539459228515625
1957018,723.0,702.0,21.0,23.0,0.07930445671081543,8.344650268554688e-05
1957019,546.0,524.0,22.0,24.0,0.0674140453338623,0.00010514259338378906
1957020,547.0,524.0,23.0,25.0,0.06296110153198242,0.00010848045349121094
1957021,548.0,524.0,24.0,26.0,0.07289528846740723,9.822845458984375e-05
1957022,512.0,487.0,25.0,26.0,0.05561375617980957,0.00010251998901367188
1957023,512.0,488.0,24.0,25.0,0.058503150939941406,8.0108642578125e-05
1957024,512.0,489.0,23.0,24.0,0.059052467346191406,9.489059448242188e-05
1957025,512.0,490.0,22.0,23.0,0.06197929382324219,9.131431579589844e-05
1957026,512.0,490.0,22.0,23.0,0.0573124885559082,0.00010013580322265625
1957027,512.0,490.0,22.0,23.0,0.05618429183959961,8.7738037109375e-05
1957028,512.0,491.0,21.0,22.0,0.06091022491455078,8.559226989746094e-05
1957029,512.0,492.0,20.0,21.0,0.05866718292236328,9.202957153320312e-05
1957030,512.0,492.0,20.0,21.0,0.055815935134887695,8.7738037109375e-05
1957031,743.0,723.0,20.0,22.0,0.08419227600097656,8.630752563476562e-05
1957032,512.0,491.0,21.0,22.0,0.06371736526489258,0.00010514259338378906
1957033,512.0,491.0,21.0,22.0,0.054323673248291016,9.059906005859375e-05
1957034,512.0,491.0,21.0,22.0,0.05622053146362305,8.344650268554688e-05
1957035,608.0,587.0,21.0,23.0,0.07338929176330566,8.463859558105469e-05
1957036,546.0,524.0,22.0,24.0,0.0647726058959961,0.00010180473327636719
1957037,512.0,489.0,23.0,24.0,0.05773353576660156,0.00010037422180175781
1957038,512.0,489.0,23.0,24.0,0.05707430839538574,8.845329284667969e-05
1957039,512.0,489.0,23.0,24.0,0.059087276458740234,8.20159912109375e-05
1957040,512.0,490.0,22.0,23.0,0.0575098991394043,9.369850158691406e-05
1957041,636.0,615.0,21.0,23.0,0.08326458930969238,8.940696716308594e-05
1957042,546.0,524.0,22.0,24.0,0.08441019058227539,0.000102996826171875
1957043,512.0,490.0,22.0,23.0,0.06327199935913086,0.00011944770812988281
1957044,568.0,546.0,22.0,24.0,0.0664818286895752,8.988380432128906e-05
1957045,512.0,489.0,23.0,24.0,0.05891847610473633,9.72747802734375e-05
1957046,570.0,547.0,23.0,25.0,0.07438898086547852,9.226799011230469e-05
1957047,512.0,488.0,24.0,25.0,0.058679819107055664,0.00010156631469726562
1957048,512.0,488.0,24.0,25.0,0.055071353912353516,9.107589721679688e-05
1957049,512.0,488.0,24.0,25.0,0.05621623992919922,0.00010514259338378906
1957050,620.0,596.0,24.0,26.0,0.07378649711608887,8.893013000488281e-05
1957051,549.0,524.0,25.0,27.0,0.06786060333251953,0.00010251998901367188
1957052,512.0,486.0,26.0,27.0,0.05767464637756348,9.822845458984375e-05
1957053,512.0,486.0,26.0,27.0,0.05622458457946777,8.96453857421875e-05
1957054,602.0,576.0,26.0,28.0,0.08588957786560059,8.511543273925781e-05
1957055,512.0,485.0,27.0,28.0,0.06810688972473145,0.00010609626770019531
1957056,577.0,551.0,26.0,28.0,0.06952929496765137,9.393692016601562e-05
1957057,550.0,524.0,26.0,28.0,0.0663905143737793,0.0001010894775390625
1957058,551.0,524.0,27.0,29.0,0.07174253463745117,0.00011610984802246094
